CustomerKey,Frequency,Recency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Title,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,DateFirstPurchase,CommuteDistance,Age
11000,8,608,9073.889000000001,2,4,5,11,Big Spenders,,Jon,Yang,1990-03-14 07:40:48,Married,Male,jon24@adventure-works.com,99000.00000000001,2,0,Bachelors,Professional,Y,2021-01-17,1-2 Miles,36
11001,11,387,7022.268,5,4,5,14,Most Valuable,,Eugene,Huang,1995-07-12 19:12:00,Single,Male,eugene10@adventure-works.com,66000.0,3,3,Bachelors,Professional,N,2021-01-13,0-1 Miles,31
11002,4,677,8925.444,1,3,5,9,Big Spenders,,Ruben,Torres,1989-06-10 01:55:12,Married,Male,ruben35@adventure-works.com,66000.0,3,3,Bachelors,Professional,Y,2021-01-05,2-5 Miles,37
11003,9,601,8953.219000000001,2,4,5,11,Big Spenders,,Christy,Zhu,1992-05-08 19:12:00,Single,Female,christy12@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2016-12-27,5-10 Miles,34
11004,6,610,9015.611,2,4,5,11,Big Spenders,,Elizabeth,Johnson,1999-04-13 22:04:48,Single,Female,elizabeth5@adventure-works.com,88000.0,5,5,Bachelors,Professional,Y,2021-01-21,1-2 Miles,27
11005,6,609,8933.463,2,4,5,11,Big Spenders,,Julio,Ruiz,1995-10-17 01:55:12,Single,Male,julio1@adventure-works.com,77000.0,0,0,Bachelors,Professional,Y,2016-12-28,5-10 Miles,30
11006,5,597,8930.933,2,4,5,11,Big Spenders,,Janet,Alvarez,1996-03-07 18:14:24,Single,Female,janet9@adventure-works.com,77000.0,0,0,Bachelors,Professional,Y,2021-01-22,5-10 Miles,30
11007,8,653,9032.1,1,4,5,10,Big Spenders,,Marco,Mehta,1987-12-24 11:31:12,Married,Male,marco14@adventure-works.com,66000.0,3,3,Bachelors,Professional,Y,2021-01-07,0-1 Miles,38
11008,7,670,8916.941,1,4,5,10,Big Spenders,,Rob,Verhoff,1994-07-17 00:57:36,Single,Female,rob4@adventure-works.com,66000.0,4,4,Bachelors,Professional,Y,2021-01-23,10+ Miles,32
11009,5,602,8900.463,2,4,5,11,Big Spenders,,Shannon,Carlson,1987-11-10 09:36:00,Single,Male,shannon38@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-01-25,5-10 Miles,38
11010,4,588,8896.844000000001,2,3,5,10,Big Spenders,,Jacquelyn,Suarez,1987-09-07 14:24:00,Single,Female,jacquelyn20@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-01-12,5-10 Miles,38
11011,4,653,8946.344000000001,1,3,5,9,Big Spenders,,Curtis,Lu,1987-05-21 13:26:24,Married,Male,curtis9@adventure-works.com,66000.0,4,4,Bachelors,Professional,Y,2016-12-28,10+ Miles,39
